strategy_name,year,total_espn_points,r64_correct,r32_correct,s16_correct,e8_correct,f4_correct,champ_correct,upsets_called,upsets_hit,timestamp
always_higher_seed,2010,780,22,8,4,1,1,0,0,0,2026-03-12T11:05:34.718505
always_higher_seed,2011,570,25,10,3,0,0,0,0,0,2026-03-12T11:05:34.730147
always_higher_seed,2012,880,22,11,5,1,1,0,0,0,2026-03-12T11:05:34.738037
always_higher_seed,2013,640,22,11,3,1,0,0,0,0,2026-03-12T11:05:34.749413
always_higher_seed,2014,680,24,10,4,1,0,0,0,0,2026-03-12T11:05:34.768699
always_higher_seed,2015,1050,27,9,5,3,1,0,0,0,2026-03-12T11:05:34.788219
always_higher_seed,2016,870,19,10,6,1,1,0,0,0,2026-03-12T11:05:34.803555
always_higher_seed,2017,980,26,12,4,2,1,0,0,0,2026-03-12T11:05:34.825508
always_higher_seed,2018,1130,23,7,3,2,1,1,1,1,2026-03-12T11:05:34.835644
always_higher_seed,2019,920,20,14,5,1,1,0,0,0,2026-03-12T11:05:34.846848
always_higher_seed,2021,840,22,7,4,2,1,0,0,0,2026-03-12T11:05:34.855253
always_higher_seed,2022,620,22,10,3,1,0,0,0,0,2026-03-12T11:05:34.865326
always_higher_seed,2023,470,25,9,1,0,0,0,0,0,2026-03-12T11:05:34.879824
always_higher_seed,2024,1210,21,12,3,2,1,1,1,1,2026-03-12T11:05:34.895221
kenpom_rank,2010,1210,25,10,5,1,1,1,7,6,2026-03-12T11:05:35.404282
kenpom_rank,2011,530,27,9,2,0,0,0,7,4,2026-03-12T11:05:35.414507
kenpom_rank,2012,1360,22,11,5,3,1,1,7,4,2026-03-12T11:05:35.423098
kenpom_rank,2013,740,22,12,5,1,0,0,5,3,2026-03-12T11:05:35.432660
kenpom_rank,2014,700,24,11,4,1,0,0,6,4,2026-03-12T11:05:35.442417
kenpom_rank,2015,1110,25,11,6,3,1,0,7,3,2026-03-12T11:05:35.450900
kenpom_rank,2016,1510,23,10,5,3,2,1,12,10,2026-03-12T11:05:35.462365
kenpom_rank,2017,970,27,11,4,2,1,0,5,2,2026-03-12T11:05:35.471578
kenpom_rank,2018,1120,24,10,3,1,1,1,6,4,2026-03-12T11:05:35.482041
kenpom_rank,2019,850,23,15,6,1,0,0,5,5,2026-03-12T11:05:35.490924
kenpom_rank,2021,880,24,8,4,2,1,0,4,2,2026-03-12T11:05:35.499310
kenpom_rank,2022,700,24,9,1,1,1,0,6,4,2026-03-12T11:05:35.509954
kenpom_rank,2023,620,24,11,2,1,0,0,5,3,2026-03-12T11:05:35.518631
kenpom_rank,2024,1250,23,13,3,2,1,1,6,5,2026-03-12T11:05:35.528717
seed_history,2010,780,22,8,4,1,1,0,4,2,2026-03-12T11:05:35.573302
seed_history,2011,590,27,10,3,0,0,0,4,3,2026-03-12T11:05:35.618007
seed_history,2012,880,22,11,5,1,1,0,4,2,2026-03-12T11:05:35.664155
seed_history,2013,620,20,11,3,1,0,0,4,1,2026-03-12T11:05:35.709319
seed_history,2014,680,24,10,4,1,0,0,4,2,2026-03-12T11:05:35.753455
seed_history,2015,1050,27,9,5,3,1,0,4,2,2026-03-12T11:05:35.796674
seed_history,2016,890,21,10,6,1,1,0,4,3,2026-03-12T11:05:35.838687
seed_history,2017,1000,28,12,4,2,1,0,4,3,2026-03-12T11:05:35.881344
seed_history,2018,1130,23,7,3,2,1,1,5,3,2026-03-12T11:05:35.921779
seed_history,2019,900,18,14,5,1,1,0,4,1,2026-03-12T11:05:35.965506
seed_history,2021,840,22,7,4,2,1,0,4,2,2026-03-12T11:05:36.008343
seed_history,2022,640,24,10,3,1,0,0,4,3,2026-03-12T11:05:36.047256
seed_history,2023,450,23,9,1,0,0,0,4,1,2026-03-12T11:05:36.088351
seed_history,2024,1230,23,12,3,2,1,1,5,4,2026-03-12T11:05:36.130495
chalk_with_upsets,2010,620,22,8,4,1,0,0,20,10,2026-03-12T11:05:36.169530
chalk_with_upsets,2011,530,21,10,3,0,0,0,19,8,2026-03-12T11:05:36.208754
chalk_with_upsets,2012,760,20,10,5,2,0,0,21,10,2026-03-12T11:05:36.243741
chalk_with_upsets,2013,480,20,8,3,0,0,0,18,7,2026-03-12T11:05:36.285531
chalk_with_upsets,2014,680,22,11,4,1,0,0,18,9,2026-03-12T11:05:36.323801
chalk_with_upsets,2015,530,17,8,5,0,0,0,19,3,2026-03-12T11:05:36.360063
chalk_with_upsets,2016,970,23,9,6,2,1,0,22,14,2026-03-12T11:05:36.401405
chalk_with_upsets,2017,580,22,10,4,0,0,0,20,7,2026-03-12T11:05:36.459438
chalk_with_upsets,2018,450,19,7,3,0,0,0,19,8,2026-03-12T11:05:36.503776
chalk_with_upsets,2019,740,26,10,5,1,0,0,18,12,2026-03-12T11:05:36.541481
chalk_with_upsets,2021,580,18,8,4,1,0,0,17,7,2026-03-12T11:05:36.580455
chalk_with_upsets,2022,720,24,10,3,2,0,0,20,11,2026-03-12T11:05:36.617950
chalk_with_upsets,2023,330,17,6,1,0,0,0,17,4,2026-03-12T11:05:36.659429
chalk_with_upsets,2024,570,23,11,3,0,0,0,19,9,2026-03-12T11:05:36.699774
composite_rank,2010,1090,21,8,4,1,1,1,1,0,2026-03-12T11:05:36.710716
composite_rank,2011,560,24,10,3,0,0,0,1,0,2026-03-12T11:05:36.718871
composite_rank,2012,1200,22,11,5,1,1,1,0,0,2026-03-12T11:05:36.728356
composite_rank,2013,670,21,11,4,1,0,0,1,0,2026-03-12T11:05:36.737376
composite_rank,2014,680,24,10,4,1,0,0,2,1,2026-03-12T11:05:36.748860
composite_rank,2015,1050,25,10,5,3,1,0,4,1,2026-03-12T11:05:36.757179
composite_rank,2016,890,21,10,6,1,1,0,2,2,2026-03-12T11:05:36.765321
composite_rank,2017,980,26,12,4,2,1,0,1,0,2026-03-12T11:05:36.773240
composite_rank,2018,1130,23,7,3,2,1,1,1,1,2026-03-12T11:05:36.781511
composite_rank,2019,770,21,14,5,1,0,0,1,1,2026-03-12T11:05:36.789538
composite_rank,2021,850,23,7,4,2,1,0,2,1,2026-03-12T11:05:36.798700
composite_rank,2022,790,23,10,3,1,1,0,2,2,2026-03-12T11:05:36.811652
composite_rank,2023,490,25,10,1,0,0,0,0,0,2026-03-12T11:05:36.819439
composite_rank,2024,1210,21,12,3,2,1,1,3,2,2026-03-12T11:05:36.828493
random_weighted,2010,1350,19,12,5,3,1,1,0,0,2026-03-12T11:06:10.225342
random_weighted,2011,1490,25,10,6,2,2,1,0,0,2026-03-12T11:06:43.624089
random_weighted,2012,1490,23,11,4,3,2,1,0,0,2026-03-12T11:07:17.054544
random_weighted,2013,1410,21,8,4,3,2,1,0,0,2026-03-12T11:07:50.414136
random_weighted,2014,1070,23,8,3,1,1,1,0,0,2026-03-12T11:08:24.106658
random_weighted,2015,1300,24,9,6,2,1,1,0,0,2026-03-12T11:08:57.017630
random_weighted,2016,1570,19,11,7,3,2,1,0,0,2026-03-12T11:09:30.270339
random_weighted,2017,1350,23,12,6,2,1,1,0,0,2026-03-12T11:10:03.207213
random_weighted,2018,1430,23,8,4,3,2,1,0,0,2026-03-12T11:10:42.216094
random_weighted,2019,1510,19,12,7,4,1,1,0,0,2026-03-12T11:11:30.486671
random_weighted,2021,1410,23,9,5,4,1,1,0,0,2026-03-12T11:12:08.727727
random_weighted,2022,1320,24,10,4,3,1,1,0,0,2026-03-12T11:12:46.019128
random_weighted,2023,1200,22,9,4,2,1,1,0,0,2026-03-12T11:14:01.629324
random_weighted,2024,1380,22,10,6,3,1,1,0,0,2026-03-12T11:14:46.208596
ml_logistic,2010,670,27,12,4,0,0,0,0,0,2026-03-12T11:26:58.575769
ml_logistic,2011,350,23,6,0,0,0,0,0,0,2026-03-12T11:26:58.627496
ml_logistic,2012,1220,22,10,4,2,1,1,0,0,2026-03-12T11:26:58.681768
ml_logistic,2013,770,25,12,3,2,0,0,0,0,2026-03-12T11:26:58.737041
ml_logistic,2014,910,25,13,6,2,0,0,0,0,2026-03-12T11:26:58.789072
ml_logistic,2015,630,25,9,3,1,0,0,0,0,2026-03-12T11:26:58.839942
ml_logistic,2016,790,23,10,3,1,1,0,0,0,2026-03-12T11:26:58.894825
ml_logistic,2017,620,28,11,3,0,0,0,0,0,2026-03-12T11:26:58.953889
ml_logistic,2018,1100,28,9,2,1,1,1,0,0,2026-03-12T11:26:59.006525
ml_logistic,2019,1330,25,14,4,2,1,1,0,0,2026-03-12T11:26:59.058631
ml_logistic,2021,550,23,8,4,0,0,0,0,0,2026-03-12T11:26:59.108654
ml_logistic,2022,860,24,11,4,1,1,0,0,0,2026-03-12T11:26:59.160176
ml_logistic,2023,430,21,7,2,0,0,0,0,0,2026-03-12T11:26:59.211448
ml_logistic,2024,540,24,9,1,1,0,0,0,0,2026-03-12T11:26:59.262277
ml_random_forest,2010,530,23,9,3,0,0,0,0,0,2026-03-12T11:27:08.105490
ml_random_forest,2011,410,25,8,0,0,0,0,0,0,2026-03-12T11:27:08.156071
ml_random_forest,2012,920,20,10,5,2,1,0,0,0,2026-03-12T11:27:08.204465
ml_random_forest,2013,590,21,11,4,0,0,0,0,0,2026-03-12T11:27:08.254456
ml_random_forest,2014,520,24,8,3,0,0,0,0,0,2026-03-12T11:27:08.305288
ml_random_forest,2015,680,26,11,3,1,0,0,0,0,2026-03-12T11:27:08.359536
ml_random_forest,2016,620,22,8,4,1,0,0,0,0,2026-03-12T11:27:08.408658
ml_random_forest,2017,730,27,11,4,1,0,0,0,0,2026-03-12T11:27:08.459165
ml_random_forest,2018,440,28,8,0,0,0,0,0,0,2026-03-12T11:27:08.509389
ml_random_forest,2019,1220,22,12,5,1,1,1,0,0,2026-03-12T11:27:08.562650
ml_random_forest,2021,410,21,6,2,0,0,0,0,0,2026-03-12T11:27:08.612998
ml_random_forest,2022,500,24,9,2,0,0,0,0,0,2026-03-12T11:27:08.663622
ml_random_forest,2023,450,23,9,1,0,0,0,0,0,2026-03-12T11:27:08.714113
ml_random_forest,2024,630,25,11,2,1,0,0,0,0,2026-03-12T11:27:08.764582
ml_gradient_boost,2010,440,24,8,1,0,0,0,0,0,2026-03-12T11:27:19.522203
ml_gradient_boost,2011,480,24,10,1,0,0,0,0,0,2026-03-12T11:27:19.570851
ml_gradient_boost,2012,410,21,8,1,0,0,0,0,0,2026-03-12T11:27:19.621318
ml_gradient_boost,2013,500,24,9,2,0,0,0,0,0,2026-03-12T11:27:19.670129
ml_gradient_boost,2014,570,25,10,3,0,0,0,0,0,2026-03-12T11:27:19.720392
ml_gradient_boost,2015,480,24,6,1,1,0,0,0,0,2026-03-12T11:27:19.770818
ml_gradient_boost,2016,580,24,9,4,0,0,0,0,0,2026-03-12T11:27:19.820933
ml_gradient_boost,2017,910,27,12,4,1,1,0,0,0,2026-03-12T11:27:19.869360
ml_gradient_boost,2018,440,26,7,1,0,0,0,0,0,2026-03-12T11:27:19.924408
ml_gradient_boost,2019,480,24,8,2,0,0,0,0,0,2026-03-12T11:27:19.987788
ml_gradient_boost,2021,360,22,5,1,0,0,0,0,0,2026-03-12T11:27:20.038178
ml_gradient_boost,2022,570,23,9,4,0,0,0,0,0,2026-03-12T11:27:20.090073
ml_gradient_boost,2023,420,22,8,1,0,0,0,0,0,2026-03-12T11:27:20.138814
ml_gradient_boost,2024,320,22,5,0,0,0,0,0,0,2026-03-12T11:27:20.188801
ml_ensemble,2010,550,25,9,3,0,0,0,0,0,2026-03-12T11:27:20.241141
ml_ensemble,2011,430,25,9,0,0,0,0,0,0,2026-03-12T11:27:20.288820
ml_ensemble,2012,760,20,10,5,2,0,0,0,0,2026-03-12T11:27:20.338941
ml_ensemble,2013,580,24,11,3,0,0,0,0,0,2026-03-12T11:27:20.388735
ml_ensemble,2014,710,25,11,4,1,0,0,0,0,2026-03-12T11:27:20.438997
ml_ensemble,2015,630,25,9,3,1,0,0,0,0,2026-03-12T11:27:20.489510
ml_ensemble,2016,580,24,9,4,0,0,0,0,0,2026-03-12T11:27:20.537578
ml_ensemble,2017,670,27,12,4,0,0,0,0,0,2026-03-12T11:27:20.585464
ml_ensemble,2018,530,29,8,2,0,0,0,0,0,2026-03-12T11:27:20.635150
ml_ensemble,2019,1260,24,13,5,1,1,1,0,0,2026-03-12T11:27:20.683775
ml_ensemble,2021,490,23,9,2,0,0,0,0,0,2026-03-12T11:27:20.731460
ml_ensemble,2022,620,24,11,4,0,0,0,0,0,2026-03-12T11:27:20.779186
ml_ensemble,2023,480,22,9,2,0,0,0,0,0,2026-03-12T11:27:20.827196
ml_ensemble,2024,600,24,10,2,1,0,0,0,0,2026-03-12T11:27:20.874720
ml_favorites,2010,1200,26,9,5,1,1,1,0,0,2026-03-12T13:03:21.965338
ml_favorites,2011,530,25,10,2,0,0,0,0,0,2026-03-12T13:05:00.148745
ml_favorites,2012,1490,21,12,6,2,2,1,0,0,2026-03-12T13:06:31.468000
ml_favorites,2013,1020,24,13,5,2,1,0,0,0,2026-03-12T13:08:09.507333
ml_favorites,2014,830,25,11,5,2,0,0,0,0,2026-03-12T13:10:00.132768
ml_favorites,2015,1050,25,10,5,3,1,0,0,0,2026-03-12T13:11:42.472058
ml_favorites,2016,720,24,10,5,1,0,0,0,0,2026-03-12T13:13:30.653388
ml_favorites,2017,670,27,12,4,0,0,0,0,0,2026-03-12T13:15:05.747719
ml_favorites,2018,1140,28,9,3,1,1,1,0,0,2026-03-12T13:16:43.803440
ml_favorites,2019,1290,25,14,5,1,1,1,0,0,2026-03-12T13:18:19.185699
ml_favorites,2021,990,23,10,4,3,1,0,0,0,2026-03-12T13:19:59.910508
ml_favorites,2022,1360,24,12,4,3,1,1,0,0,2026-03-12T13:21:30.024488
ml_favorites,2023,640,24,12,2,1,0,0,0,0,2026-03-12T13:22:55.910225
ml_favorites,2024,930,25,10,4,2,1,0,0,0,2026-03-12T13:24:21.952833
ml_optimized,2010,1250,25,12,5,1,1,1,0,0,2026-03-12T13:04:58.775146
ml_optimized,2011,500,24,9,2,0,0,0,0,0,2026-03-12T13:06:29.827808
ml_optimized,2012,1460,22,12,5,2,2,1,0,0,2026-03-12T13:08:07.833250
ml_optimized,2013,1500,24,13,5,2,2,1,0,0,2026-03-12T13:09:58.482253
ml_optimized,2014,880,24,12,6,2,0,0,0,0,2026-03-12T13:11:40.851397
ml_optimized,2015,1090,27,11,5,3,1,0,0,0,2026-03-12T13:13:29.221344
ml_optimized,2016,980,24,11,5,2,1,0,0,0,2026-03-12T13:15:04.128194
ml_optimized,2017,1020,28,11,5,2,1,0,0,0,2026-03-12T13:16:42.254818
ml_optimized,2018,1260,28,9,4,2,1,1,0,0,2026-03-12T13:18:17.581162
ml_optimized,2019,1290,25,14,5,1,1,1,0,0,2026-03-12T13:19:58.469634
ml_optimized,2021,970,25,12,4,2,1,0,0,0,2026-03-12T13:21:28.601510
ml_optimized,2022,1280,24,12,4,2,1,1,0,0,2026-03-12T13:22:54.532997
ml_optimized,2023,480,24,10,1,0,0,0,0,0,2026-03-12T13:24:20.602513
ml_optimized,2024,950,25,13,3,2,1,0,0,0,2026-03-12T13:26:03.642833
perfect_hindsight,2010,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.775388
perfect_hindsight,2011,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.811604
perfect_hindsight,2012,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.840319
perfect_hindsight,2013,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.849016
perfect_hindsight,2014,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.859082
perfect_hindsight,2015,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.869441
perfect_hindsight,2016,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.876715
perfect_hindsight,2017,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.889051
perfect_hindsight,2018,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.898845
perfect_hindsight,2019,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.907945
perfect_hindsight,2021,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.918100
perfect_hindsight,2022,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.929381
perfect_hindsight,2023,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.939324
perfect_hindsight,2024,1920,32,16,8,4,2,1,0,0,2026-03-12T13:30:30.953324
upset_thresh_0.50,2010,880,26,9,5,1,1,0,10,0,2026-03-12T13:30:32.473299
upset_thresh_0.50,2011,530,25,10,2,0,0,0,12,0,2026-03-12T13:30:33.937094
upset_thresh_0.50,2012,1490,21,12,6,2,2,1,9,0,2026-03-12T13:30:35.472271
upset_thresh_0.50,2013,1020,24,13,5,2,1,0,17,0,2026-03-12T13:30:37.022643
upset_thresh_0.50,2014,830,25,11,5,2,0,0,11,0,2026-03-12T13:30:38.514714
upset_thresh_0.50,2015,1050,25,10,5,3,1,0,8,0,2026-03-12T13:30:40.139961
upset_thresh_0.50,2016,720,24,10,5,1,0,0,11,0,2026-03-12T13:30:41.874819
upset_thresh_0.50,2017,670,27,12,4,0,0,0,9,0,2026-03-12T13:30:43.477316
upset_thresh_0.50,2018,1140,28,9,3,1,1,1,14,0,2026-03-12T13:30:45.038842
upset_thresh_0.50,2019,970,25,14,5,1,1,0,7,0,2026-03-12T13:30:46.658799
upset_thresh_0.50,2021,990,23,10,4,3,1,0,17,0,2026-03-12T13:30:48.275078
upset_thresh_0.50,2022,1360,24,12,4,3,1,1,14,0,2026-03-12T13:30:49.810983
upset_thresh_0.50,2023,640,24,12,2,1,0,0,18,0,2026-03-12T13:30:51.368460
upset_thresh_0.50,2024,1250,25,10,4,2,1,1,11,0,2026-03-12T13:30:52.910744
upset_thresh_0.45,2010,1050,25,12,6,2,1,0,17,0,2026-03-12T13:30:53.128167
upset_thresh_0.45,2011,500,24,9,2,0,0,0,14,0,2026-03-12T13:30:53.189636
upset_thresh_0.45,2012,1540,22,14,6,2,2,1,13,0,2026-03-12T13:30:53.324163
upset_thresh_0.45,2013,1010,23,13,5,2,1,0,19,0,2026-03-12T13:30:53.544834
upset_thresh_0.45,2014,830,25,11,5,2,0,0,11,0,2026-03-12T13:30:53.554756
upset_thresh_0.45,2015,1040,24,10,5,3,1,0,9,0,2026-03-12T13:30:53.585485
upset_thresh_0.45,2016,740,24,11,5,1,0,0,14,0,2026-03-12T13:30:53.671189
upset_thresh_0.45,2017,720,28,12,5,0,0,0,13,0,2026-03-12T13:30:53.807943
upset_thresh_0.45,2018,1140,28,9,3,1,1,1,14,0,2026-03-12T13:30:53.841022
upset_thresh_0.45,2019,1380,26,14,5,2,1,1,12,0,2026-03-12T13:30:54.025531
upset_thresh_0.45,2021,980,22,10,4,3,1,0,18,0,2026-03-12T13:30:54.056708
upset_thresh_0.45,2022,1380,24,13,4,3,1,1,19,0,2026-03-12T13:30:54.191055
upset_thresh_0.45,2023,750,23,12,3,2,0,0,21,0,2026-03-12T13:30:54.303137
upset_thresh_0.45,2024,1310,25,11,5,2,1,1,13,0,2026-03-12T13:30:54.408003
upset_thresh_0.42,2010,770,25,12,5,1,0,0,19,0,2026-03-12T13:30:54.495988
upset_thresh_0.42,2011,500,24,9,2,0,0,0,15,0,2026-03-12T13:30:54.548554
upset_thresh_0.42,2012,1470,23,14,6,3,1,1,14,0,2026-03-12T13:30:54.629913
upset_thresh_0.42,2013,940,22,12,4,2,1,0,20,0,2026-03-12T13:30:54.712483
upset_thresh_0.42,2014,820,24,11,5,2,0,0,12,0,2026-03-12T13:30:54.744181
upset_thresh_0.42,2015,1070,25,11,5,3,1,0,11,0,2026-03-12T13:30:54.804912
upset_thresh_0.42,2016,740,24,11,5,1,0,0,17,0,2026-03-12T13:30:54.890897
upset_thresh_0.42,2017,760,28,12,6,0,0,0,15,0,2026-03-12T13:30:54.976827
upset_thresh_0.42,2018,1140,28,9,3,1,1,1,14,0,2026-03-12T13:30:54.984445
upset_thresh_0.42,2019,1480,26,13,6,3,1,1,13,0,2026-03-12T13:30:55.064187
upset_thresh_0.42,2021,1000,24,10,4,3,1,0,20,0,2026-03-12T13:30:55.098012
upset_thresh_0.42,2022,1060,24,13,4,3,1,0,20,0,2026-03-12T13:30:55.105646
upset_thresh_0.42,2023,760,22,13,3,2,0,0,24,0,2026-03-12T13:30:55.194087
upset_thresh_0.42,2024,1300,24,11,5,2,1,1,14,0,2026-03-12T13:30:55.226809
upset_thresh_0.40,2010,760,26,13,4,1,0,0,20,0,2026-03-12T13:30:55.313432
upset_thresh_0.40,2011,500,24,9,2,0,0,0,15,0,2026-03-12T13:30:55.321040
upset_thresh_0.40,2012,1480,24,14,6,3,1,1,15,0,2026-03-12T13:30:55.357801
upset_thresh_0.40,2013,930,23,11,4,2,1,0,22,0,2026-03-12T13:30:55.489270
upset_thresh_0.40,2014,840,24,12,5,2,0,0,13,0,2026-03-12T13:30:55.519635
upset_thresh_0.40,2015,1090,25,12,5,3,1,0,12,0,2026-03-12T13:30:55.549203
upset_thresh_0.40,2016,1300,24,11,5,2,1,1,18,0,2026-03-12T13:30:55.601305
upset_thresh_0.40,2017,780,28,13,6,0,0,0,15,0,2026-03-12T13:30:55.635921
upset_thresh_0.40,2018,1250,27,9,4,2,1,1,16,0,2026-03-12T13:30:55.724133
upset_thresh_0.40,2019,1480,26,13,6,3,1,1,13,0,2026-03-12T13:30:55.731478
upset_thresh_0.40,2021,1000,24,10,4,3,1,0,20,0,2026-03-12T13:30:55.743398
upset_thresh_0.40,2022,940,24,13,3,2,1,0,21,0,2026-03-12T13:30:55.805287
upset_thresh_0.40,2023,1010,21,12,4,3,1,0,27,0,2026-03-12T13:30:55.942334
upset_thresh_0.40,2024,1300,24,11,5,2,1,1,15,0,2026-03-12T13:30:55.976574
upset_thresh_0.38,2010,740,26,12,4,1,0,0,22,0,2026-03-12T13:30:56.087368
upset_thresh_0.38,2011,500,24,9,2,0,0,0,15,0,2026-03-12T13:30:56.094735
upset_thresh_0.38,2012,1490,25,14,6,3,1,1,16,0,2026-03-12T13:30:56.125806
upset_thresh_0.38,2013,930,23,11,4,2,1,0,22,0,2026-03-12T13:30:56.136831
upset_thresh_0.38,2014,820,24,11,5,2,0,0,13,0,2026-03-12T13:30:56.171193
upset_thresh_0.38,2015,1060,24,11,5,3,1,0,15,0,2026-03-12T13:30:56.255169
upset_thresh_0.38,2016,1300,24,11,5,2,1,1,18,0,2026-03-12T13:30:56.285799
upset_thresh_0.38,2017,730,27,13,5,0,0,0,18,0,2026-03-12T13:30:56.400323
upset_thresh_0.38,2018,1210,27,9,3,2,1,1,17,0,2026-03-12T13:30:56.457979
upset_thresh_0.38,2019,1480,26,13,6,3,1,1,13,0,2026-03-12T13:30:56.466501
upset_thresh_0.38,2021,1000,24,10,4,3,1,0,20,0,2026-03-12T13:30:56.473759
upset_thresh_0.38,2022,940,24,13,3,2,1,0,21,0,2026-03-12T13:30:56.481636
upset_thresh_0.38,2023,1010,21,12,4,3,1,0,27,0,2026-03-12T13:30:56.489473
upset_thresh_0.38,2024,1310,23,12,5,2,1,1,16,0,2026-03-12T13:30:56.547720
upset_thresh_0.35,2010,670,25,11,3,1,0,0,29,0,2026-03-12T13:30:56.653609
upset_thresh_0.35,2011,380,20,7,1,0,0,0,32,0,2026-03-12T13:30:56.752354
upset_thresh_0.35,2012,870,25,11,4,3,0,0,26,0,2026-03-12T13:30:56.870576
upset_thresh_0.35,2013,1210,23,11,3,2,1,1,28,0,2026-03-12T13:30:57.187122
upset_thresh_0.35,2014,630,25,9,3,1,0,0,26,0,2026-03-12T13:30:57.450717
upset_thresh_0.35,2015,1050,23,11,5,3,1,0,15,0,2026-03-12T13:30:57.486713
upset_thresh_0.35,2016,1320,24,12,5,2,1,1,21,0,2026-03-12T13:30:57.564693
upset_thresh_0.35,2017,670,27,12,4,0,0,0,26,0,2026-03-12T13:30:57.725923
upset_thresh_0.35,2018,660,26,8,2,2,0,0,27,0,2026-03-12T13:30:57.761167
upset_thresh_0.35,2019,1580,28,13,6,4,1,1,16,0,2026-03-12T13:30:57.845921
upset_thresh_0.35,2021,790,21,9,4,3,0,0,32,0,2026-03-12T13:30:58.086181
upset_thresh_0.35,2022,780,26,14,4,1,0,0,27,0,2026-03-12T13:30:58.168667
upset_thresh_0.35,2023,650,19,11,4,1,0,0,32,0,2026-03-12T13:30:58.179055
upset_thresh_0.35,2024,750,23,10,4,2,0,0,25,0,2026-03-12T13:30:58.349766
champion_first,2010,1200,26,9,5,1,1,1,0,0,2026-03-12T13:32:34.386694
champion_first,2011,520,24,10,2,0,0,0,0,0,2026-03-12T13:34:03.957777
champion_first,2012,1490,21,12,6,2,2,1,0,0,2026-03-12T13:35:40.485879
champion_first,2013,1580,24,13,5,3,2,1,0,0,2026-03-12T13:37:20.134984
champion_first,2014,830,25,11,5,2,0,0,0,0,2026-03-12T13:38:52.920125
champion_first,2015,1050,25,10,5,3,1,0,0,0,2026-03-12T13:40:35.380103
champion_first,2016,710,23,10,5,1,0,0,0,0,2026-03-12T13:42:11.102207
champion_first,2017,700,26,12,5,0,0,0,0,0,2026-03-12T13:43:50.735880
champion_first,2018,1130,27,9,3,1,1,1,0,0,2026-03-12T13:45:31.914278
champion_first,2019,1270,25,13,5,1,1,1,0,0,2026-03-12T13:47:23.259892
champion_first,2021,990,23,10,4,3,1,0,0,0,2026-03-12T13:48:57.867446
champion_first,2022,1370,25,12,4,3,1,1,0,0,2026-03-12T13:50:34.800719
champion_first,2023,640,24,12,2,1,0,0,0,0,2026-03-12T13:52:16.555445
champion_first,2024,1000,26,11,5,2,1,0,0,0,2026-03-12T13:53:47.934559
optimized_plus_upsets,2010,1190,25,9,5,1,1,1,2,0,2026-03-12T13:53:48.178744
optimized_plus_upsets,2011,520,24,10,2,0,0,0,0,0,2026-03-12T13:53:48.386786
optimized_plus_upsets,2012,1540,24,13,6,2,2,1,2,0,2026-03-12T13:53:48.593945
optimized_plus_upsets,2013,1000,22,13,5,2,1,0,2,0,2026-03-12T13:53:48.802063
optimized_plus_upsets,2014,820,24,11,5,2,0,0,0,0,2026-03-12T13:53:49.011230
optimized_plus_upsets,2015,1050,25,10,5,3,1,0,2,0,2026-03-12T13:53:49.264843
optimized_plus_upsets,2016,720,24,10,5,1,0,0,0,0,2026-03-12T13:53:49.470850
optimized_plus_upsets,2017,720,28,12,5,0,0,0,2,0,2026-03-12T13:53:49.702468
optimized_plus_upsets,2018,1130,27,9,3,1,1,1,1,0,2026-03-12T13:53:49.909424
optimized_plus_upsets,2019,1300,26,14,5,1,1,1,1,0,2026-03-12T13:53:50.118215
optimized_plus_upsets,2021,1150,25,11,5,4,1,0,2,0,2026-03-12T13:53:50.351218
optimized_plus_upsets,2022,1360,24,12,4,3,1,1,2,0,2026-03-12T13:53:50.558160
optimized_plus_upsets,2023,620,22,12,2,1,0,0,2,0,2026-03-12T13:53:50.766724
optimized_plus_upsets,2024,990,23,12,5,2,1,0,2,0,2026-03-12T13:53:50.999718
